exchangeCD,secID,sentiment,sentimentScore,newsTitle,secShortName,newsPublishSite,relatedScore,newsPublishTime,newsInsertTime,exchangeName,newsID,ticker
XSHG,601988.XSHG,0,0,4920(),,,0.3799489736557007,2015-04-09 00:00:00,2015-04-09 11:47:59,,10737811,601988
XSHG,601988.XSHG,-1,-0.11286686305900717, ,,,0.0996679961681366,2015-04-09 00:00:00,2015-04-09 20:51:18,,10753001,601988
XSHG,601988.XSHG,1,0.04411690144696667,,,,0.0996679961681366,2015-04-09 00:00:00,2015-04-09 11:47:48,,10737780,601988
XSHG,601988.XSHG,-1,-0.06813908368568233, ,,,0.0996679961681366,2015-04-09 00:00:00,2015-04-09 13:50:47,,10740661,601988
XSHG,601988.XSHG,1,0.07744878897400298,,,,0.8617231845855713,2015-04-09 00:00:00,2015-04-09 01:41:20,,10729000,601988
XSHG,601988.XSHG,0,0,4940(),,,0.6043677926063538,2015-04-09 00:00:00,2015-04-09 14:48:01,,10742896,601988
XSHG,601988.XSHG,1,0.014120902658713241,20152,,,0.6043677926063538,2015-04-09 00:00:00,2015-04-09 20:48:29,,10752798,601988
XSHG,601988.XSHG,1,0.08489079388243415, ,,,0.6043677926063538,2015-04-09 00:00:00,2015-04-09 09:17:47,,10734543,601988
XSHG,601988.XSHG,0,0,4940(),,,0.921668529510498,2015-04-09 00:00:00,2015-04-09 11:19:33,,10737461,601988
XSHG,601988.XSHG,-1,-0.0832959251782136,,,,0.0996679961681366,2015-04-09 00:00:00,2015-04-09 13:50:21,,10740554,601988
XSHG,601988.XSHG,-1,-0.2057073854738316,  ,,,0.8617231845855713,2015-04-09 00:00:00,2015-04-09 01:41:16,,10728987,601988
XSHG,601988.XSHG,-1,-0.09966269088088253,,,,0.7615941762924194,2015-04-09 00:00:00,2015-04-09 14:48:00,,10742893,601988
XSHG,601988.XSHG,1,0.011228173693658805,1.58 ,,,0.9562374353408813,2015-04-09 00:00:00,2015-04-09 08:49:46,,10733893,601988
XSHG,601988.XSHG,-1,-0.04001178411593387,2.5 ,,,0.8617231845855713,2015-04-09 00:00:00,2015-04-09 13:50:03,,10740469,601988
XSHG,601988.XSHG,-1,-0.07589258540972699,,,,0.8617231845855713,2015-04-09 00:00:00,2015-04-09 01:41:15,,10728983,601988
XSHG,601988.XSHG,-1,-0.27716101529583126,49,,,0.46211716532707214,2015-04-09 00:00:00,2015-04-09 14:22:44,,10741885,601988
XSHG,601988.XSHG,-1,-0.09909253219470415,?,,,0.3799489736557007,2015-04-09 00:00:00,2015-04-09 04:28:03,,10730472,601988
XSHG,601988.XSHG,0,0,1(219),,,0.998778223991394,2015-04-09 00:00:00,2015-04-09 20:11:38,,10752402,601988
XSHG,601988.XSHG,1,0.06151361943318556, ,,,0.1973753273487091,2015-04-09 00:00:00,2015-04-09 13:48:16,,10740380,601988
XSHG,601988.XSHG,-1,-0.12844180883868206,,,,0.8617231845855713,2015-04-09 00:00:00,2015-04-09 01:38:01,,10728915,601988
XSHG,601988.XSHG,-1,-0.2335474754187591,72.98%,,,0.0996679961681366,2015-04-09 00:00:00,2015-04-09 14:22:33,,10741839,601988
XSHG,601988.XSHG,-1,-0.17439929600575788,,,,0.0996679961681366,2015-04-09 00:00:00,2015-04-09 04:25:55,,10730438,601988
XSHG,601988.XSHG,1,0.029250797570588016,,,,0.0996679961681366,2015-04-09 00:00:00,2015-04-09 17:52:32,,10749104,601988
XSHG,601988.XSHG,-1,-0.08731690291905936,9,,,0.0996679961681366,2015-04-09 00:00:00,2015-04-13 17:32:53,,10814804,601988
XSHG,601988.XSHG,1,0.12409998131245392,,,,0.0996679961681366,2015-04-09 00:00:00,2015-04-09 01:06:37,,10728407,601988
XSHG,601988.XSHG,-1,-0.09250662157144196,,,,0.0996679961681366,2015-04-09 00:00:00,2015-04-09 14:20:30,,10741659,601988
XSHG,601988.XSHG,-1,-0.10188082080012728,40,,,0.3799489736557007,2015-04-09 00:00:00,2015-04-09 08:11:51,,10733005,601988
XSHG,601988.XSHG,1,0.054468914483513986, ,,,0.0996679961681366,2015-04-09 00:00:00,2015-04-09 22:51:02,,10754536,601988
XSHG,601988.XSHG,1,0.12409998131245392,,,,0.0996679961681366,2015-04-09 00:00:00,2015-04-09 09:53:48,,10735339,601988
XSHG,601988.XSHG,-1,-0.035255414663686424,49,,,0.9866142868995667,2015-04-09 00:00:00,2015-04-09 01:04:25,,10728331,601988
XSHG,601988.XSHG,-1,-0.14970732053543456, 3%,,,0.921668529510498,2015-04-09 00:00:00,2015-04-09 14:17:15,,10741608,601988
XSHG,601988.XSHG,-1,-0.052244439466761716,7600,,,0.7615941762924194,2015-04-09 00:00:00,2015-04-09 03:33:31,,10730154,601988
XSHG,601988.XSHG,-1,-0.010349975453381233,,,,0.9866142868995667,2015-04-09 00:00:00,2015-04-09 15:41:21,,10743860,601988
XSHG,601988.XSHG,-1,-0.03982592000996743,2.5,,,0.8617231845855713,2015-04-09 00:00:00,2015-04-09 07:48:44,,10732281,601988
XSHG,601988.XSHG,-1,-0.04072769085577199,2015-04-09,,,0.0996679961681366,2015-04-09 00:00:00,2015-04-09 14:15:39,,10741546,601988
XSHG,601988.XSHG,1,0.055994478188673646, ,,,0.9966824054718018,2015-04-09 00:00:00,2015-04-09 02:27:55,,10729288,601988
XSHG,601988.XSHG,-1,-0.08333169035212928,90 ,,,0.0996679961681366,2015-04-09 00:00:00,2015-04-09 15:15:16,,10743616,601988
XSHG,601988.XSHG,-1,-0.18562472211945802,1410,,,0.9562374353408813,2015-04-09 00:00:00,2015-04-09 07:34:47,,10732024,601988
XSHG,601988.XSHG,-1,-0.029071603116601508,,,,0.9926314949989319,2015-04-09 02:01:45,2015-04-11 17:34:41,,10791916,601988
XSHG,601988.XSHG,-1,-0.05756641218806324,,,,0.46211716532707214,2015-04-09 02:02:02,2015-04-11 17:15:14,,10789960,601988
XSHG,601988.XSHG,-1,-0.24784603678962258,,,,0.3799489736557007,2015-04-09 02:09:17,2015-04-09 02:27:55,,10729284,601988
XSHG,601988.XSHG,1,0.08359371958312889,,,,0.6043677926063538,2015-04-09 03:06:08,2015-04-09 05:48:43,,10731035,601988
XSHG,601988.XSHG,1,0.04975594236223713,,,,0.6043677926063538,2015-04-09 03:09:15,2015-04-09 03:36:39,,10730185,601988
XSHG,601988.XSHG,1,0.13038973921254926,  ,,,0.1973753273487091,2015-04-09 05:43:00,2015-04-09 06:24:36,,10731480,601988
XSHG,601988.XSHG,1,0.06028816012263216,,,,0.3799489736557007,2015-04-09 05:43:00,2015-04-09 06:03:39,,10731237,601988
XSHG,601988.XSHG,-1,-0.022806683553523777,10,,,0.9981778860092163,2015-04-09 06:00:27,2015-04-10 03:58:00,,10759445,601988
XSHG,601988.XSHG,1,0.1504839258107118, 5,,,0.664036750793457,2015-04-09 06:22:00,2015-04-09 09:49:24,,10735041,601988
XSHG,601988.XSHG,1,0.1380129775993939, ,,,0.7162978649139404,2015-04-09 06:24:00,2015-04-14 23:05:42,,10853142,601988
XSHG,601988.XSHG,-1,-0.09759364803547455, ,,,0.921668529510498,2015-04-09 07:29:00,2015-04-16 00:50:10,,10894308,601988
XSHG,601988.XSHG,-1,-0.05051004604411924, 3,,,0.0996679961681366,2015-04-09 07:36:04,2015-04-22 19:14:58,,11065323,601988
XSHG,601988.XSHG,-1,-0.018001722166867462, ,,,0.8004990220069885,2015-04-09 07:38:00,2015-04-09 08:18:59,,10733034,601988
XSHG,601988.XSHG,-1,-0.06491981841097016, 7600 ,,,0.9800963997840881,2015-04-09 08:04:12,2015-04-09 08:19:39,,10733212,601988
XSHG,601988.XSHG,1,0.1623869688108559,+ ,,,0.921668529510498,2015-04-09 08:53:00,2015-04-09 09:40:37,,10734886,601988
XSHG,601988.XSHG,1,0.02638762163897801,,,,0.6043677926063538,2015-04-09 09:03:00,2015-04-16 01:08:05,,10894586,601988
XSHG,601988.XSHG,1,0.015852227325102497,,,,0.8617231845855713,2015-04-09 09:10:00,2015-04-09 09:40:35,,10734878,601988
XSHG,601988.XSHG,1,0.1698682863553227, AH,,,0.921668529510498,2015-04-09 09:32:40,2015-04-10 04:01:25,,10760284,601988
XSHG,601988.XSHG,-1,-0.00883197087290255,6.1338 7,,,0.0996679961681366,2015-04-09 09:34:00,2015-04-09 10:01:12,,10735554,601988
XSHG,601988.XSHG,-1,-0.05211683371176845,FX168201449,,,0.1973753273487091,2015-04-09 10:11:29,2015-04-09 10:36:48,,10736053,601988
XSHG,601988.XSHG,1,0.1227709589079038,,,,0.2913126051425934,2015-04-09 10:22:00,2015-04-09 14:50:32,,10743043,601988
